protocol_version,model,model_label,seed,prequential_nll_bits,prequential_accuracy_pct,test_nll_bits,test_accuracy_pct,test_macro_f1_pct,test_brier,test_dedup_nll_bits,test_dedup_accuracy_pct,test_dedup_macro_f1_pct,test_dedup_brier,insertion_rate_pct,active_atoms,retained_examples,allocated_bytes,model_mib,run_seconds,train_examples,test_examples,test_dedup_examples,excluded_duplicate_test_examples,dimension,max_features,hash_seed,capacity,top_k,key_nnz,key_scale,learning_rate_key,learning_rate_value,linear_learning_rate,knn_prior_mass,byte_budget,shared_birth_seed,shared_birth_count,fixed_key_support,official_test_previously_exposed,hyperparameters_provisional
banking77-v2-posthoc,linear,Online linear,1,1.1881869164752912,79.66610016994902,0.6220533525281223,88.08441558441558,88.12296031996986,0.1744835245946356,0.6266809755541178,87.98690671031096,88.01825016981785,0.17586254786086783,nan,0,0,2523444,2.406543731689453,3.036960261990316,10003,3080,3055,25,8192,256,0,0,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,shared_learned,Shared-birth learned-key memory,2,4.835209812820661,51.67449765070479,4.01741401889493,65.06493506493507,62.53359024598952,0.8398574643562754,4.018684711921749,64.9099836333879,62.34547312964628,0.8398368014300123,40.537838648405476,4055,4055,134204896,127.98776245117188,109.0512689279858,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,shared_frozen,Shared-birth frozen-key memory,2,5.381486182716622,50.52484254723583,5.018735898044085,66.5909090909091,65.06805830666724,0.9399933654379535,5.020948565762653,66.44844517184943,64.889949884337,0.9400750794699462,40.537838648405476,4055,4055,134204896,127.98776245117188,83.95705240103416,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_learned,Natural-insertion learned-key memory,2,4.865790739940392,50.774767569729086,4.087754286487032,59.80519480519481,56.6893322597725,0.8508486715907401,4.088718987760796,59.738134206219314,56.63736006037552,0.8508642910545274,17.974607617714685,1798,1798,134204896,127.98776245117188,71.8233521450311,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_frozen,Natural-insertion frozen-key memory,2,5.413173849162371,53.14405678296511,5.135077574729111,66.13636363636364,64.77695085973339,0.9490379763888074,5.136663803248983,65.99018003273322,64.62699922131887,0.9490927750272173,32.39028291512546,3240,3240,134204896,127.98776245117188,74.23026749503333,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,knn,Exact same-energy kNN,2,2.2114330136753866,69.37918624412677,1.6232053673326752,79.0909090909091,79.20652754959674,0.4239104373377518,1.6306146950275686,78.91980360065467,79.03790111411972,0.42584958355508,nan,0,10003,82045222,78.24442100524902,34.71391869196668,10003,3080,3055,25,8192,256,0,10003,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,linear,Online linear,2,1.1858800696710128,79.80605818254524,0.6472536459827442,87.98701298701299,88.1016976459901,0.18427972693866027,0.6515972533184007,87.9214402618658,88.03264355184534,0.18545793133100733,nan,0,0,2523444,2.406543731689453,2.836597820976749,10003,3080,3055,25,8192,256,0,0,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,shared_learned,Shared-birth learned-key memory,3,4.8453533719926325,51.41457562731181,4.040693948220851,65.68181818181819,63.52940429390487,0.841976780734666,4.041880251074613,65.59738134206219,63.372891248756936,0.8419568118116469,40.537838648405476,4055,4055,134204896,127.98776245117188,111.54155778000131,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,shared_frozen,Shared-birth frozen-key memory,3,5.392422504305367,50.52484254723583,5.0306199362828945,66.2987012987013,64.70426892570484,0.9407382883421787,5.03277041935124,66.15384615384615,64.49661097616072,0.9408119989495035,40.537838648405476,4055,4055,134204896,127.98776245117188,87.87968852801714,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_learned,Natural-insertion learned-key memory,3,4.8952238958163985,49.69509147255823,4.144243378890158,61.62337662337662,58.53936211064645,0.8558952709490603,4.145188018003031,61.44026186579378,58.31556669846783,0.8559126536116467,17.62471258622413,1763,1763,134204896,127.98776245117188,74.82118097506464,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_frozen,Natural-insertion frozen-key memory,3,5.411349804573747,51.204638608417476,5.11955814447708,65.22727272727272,63.41704698089896,0.9482611624257905,5.121763185387088,65.07364975450082,63.27481524701324,0.9483402628165025,31.520543836848944,3153,3153,134204896,127.98776245117188,76.47443023102824,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,knn,Exact same-energy kNN,3,2.1946758234002397,70.06897930620813,1.6232857052884853,79.12337662337663,79.23799426787487,0.4239962543877954,1.6306583659370384,78.95253682487726,79.06962888304201,0.42592261249745195,nan,0,10003,82045222,78.24442100524902,37.76279667892959,10003,3080,3055,25,8192,256,0,10003,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,linear,Online linear,3,1.1803102621498678,80.04598620413876,0.6076452067702216,88.47402597402598,88.47723475172079,0.17234041559099475,0.6120428881183004,88.379705400982,88.37823659478914,0.1736412610891165,nan,0,0,2523444,2.406543731689453,3.782521104090847,10003,3080,3055,25,8192,256,0,0,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,shared_learned,Shared-birth learned-key memory,4,4.830436981901396,51.58452464260722,4.048990092722505,63.993506493506494,62.55023526110519,0.8451731914533424,4.050771988386954,63.86252045826514,62.33551252766985,0.8452585837747384,40.537838648405476,4055,4055,134204896,127.98776245117188,138.0268222419545,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,shared_frozen,Shared-birth frozen-key memory,4,5.400376161028011,49.765070478856344,5.041124563686069,66.26623376623377,64.74812361530458,0.9412449141601463,5.043307214287489,66.12111292962356,64.55493925926358,0.9413295265110346,40.537838648405476,4055,4055,134204896,127.98776245117188,101.20665333105717,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_learned,Natural-insertion learned-key memory,4,4.890387752393732,50.42487253823853,4.167020394144415,59.09090909090909,56.8009136316291,0.8633961914421676,4.168510991229593,58.95253682487726,56.64526717704451,0.863476649770565,16.904928521443566,1691,1691,134204896,127.98776245117188,90.6282953399932,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_frozen,Natural-insertion frozen-key memory,4,5.411008056258947,52.31430570828751,5.128805991782238,64.51298701298701,62.03714919615761,0.9490526798290092,5.131254863893825,64.32078559738135,61.86115155685944,0.9491628732891988,31.94041787463761,3195,3195,134204896,127.98776245117188,93.3450595070608,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,knn,Exact same-energy kNN,4,2.205873907516793,69.83904828551435,1.624758258265444,79.0909090909091,79.20652754959674,0.424010027296442,1.632142969265691,78.91980360065467,79.03790111411972,0.42593649811402523,nan,0,10003,82045222,78.24442100524902,41.33683561801445,10003,3080,3055,25,8192,256,0,10003,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,linear,Online linear,4,1.183591932683779,79.8260521843447,0.6253863242926772,88.92857142857142,89.01229245557157,0.1745769793986648,0.6285478101475597,88.8707037643208,88.95106763015129,0.17531345367827358,nan,0,0,2523444,2.406543731689453,3.1009150040335953,10003,3080,3055,25,8192,256,0,0,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
